Historical 56-pair y8,y20 flatness audit
(1, 1) order4=True J:t=J=True flat=True cpu_seconds=6.798
(2, 1) order4=True J:t=J=True flat=True cpu_seconds=6.840
(3, 1) order4=True J:t=J=True flat=True cpu_seconds=6.827
(5, 1) order4=True J:t=J=True flat=True cpu_seconds=6.104
(7, 1) order4=True J:t=J=True flat=True cpu_seconds=6.600
(11, 1) order4=True J:t=J=True flat=True cpu_seconds=6.555
(32002, 1) order4=True J:t=J=True flat=True cpu_seconds=6.854
(1, 2) order4=True J:t=J=True flat=True cpu_seconds=7.224
(2, 2) order4=True J:t=J=True flat=True cpu_seconds=6.215
(3, 2) order4=True J:t=J=True flat=True cpu_seconds=6.720
(5, 2) order4=True J:t=J=True flat=True cpu_seconds=6.574
(7, 2) order4=True J:t=J=True flat=True cpu_seconds=6.524
(11, 2) order4=True J:t=J=True flat=True cpu_seconds=6.480
(32002, 2) order4=True J:t=J=True flat=True cpu_seconds=6.229
(1, 3) order4=True J:t=J=True flat=True cpu_seconds=6.695
(2, 3) order4=True J:t=J=True flat=True cpu_seconds=7.165
(3, 3) order4=True J:t=J=True flat=True cpu_seconds=6.697
(5, 3) order4=True J:t=J=True flat=True cpu_seconds=6.493
(7, 3) order4=True J:t=J=True flat=True cpu_seconds=5.630
(11, 3) order4=True J:t=J=True flat=True cpu_seconds=6.124
(32002, 3) order4=True J:t=J=True flat=True cpu_seconds=5.839
(1, 5) order4=True J:t=J=True flat=True cpu_seconds=5.660
(2, 5) order4=True J:t=J=True flat=True cpu_seconds=5.808
(3, 5) order4=True J:t=J=True flat=True cpu_seconds=5.652
(5, 5) order4=True J:t=J=True flat=True cpu_seconds=5.791
(7, 5) order4=True J:t=J=True flat=True cpu_seconds=7.074
(11, 5) order4=True J:t=J=True flat=True cpu_seconds=6.419
(32002, 5) order4=True J:t=J=True flat=True cpu_seconds=6.456
(1, 7) order4=True J:t=J=True flat=True cpu_seconds=6.389
(2, 7) order4=True J:t=J=True flat=True cpu_seconds=6.484
(3, 7) order4=True J:t=J=True flat=True cpu_seconds=7.073
(5, 7) order4=True J:t=J=True flat=True cpu_seconds=7.781
(7, 7) order4=True J:t=J=True flat=True cpu_seconds=6.556
(11, 7) order4=True J:t=J=True flat=True cpu_seconds=6.464
(32002, 7) order4=True J:t=J=True flat=True cpu_seconds=6.682
(1, 11) order4=True J:t=J=True flat=True cpu_seconds=7.735
(2, 11) order4=True J:t=J=True flat=True cpu_seconds=6.706
(3, 11) order4=True J:t=J=True flat=True cpu_seconds=6.812
(5, 11) order4=True J:t=J=True flat=True cpu_seconds=6.535
(7, 11) order4=True J:t=J=True flat=True cpu_seconds=6.583
(11, 11) order4=True J:t=J=True flat=True cpu_seconds=6.979
(32002, 11) order4=True J:t=J=True flat=True cpu_seconds=6.135
(1, 37) order4=True J:t=J=True flat=True cpu_seconds=6.616
(2, 37) order4=True J:t=J=True flat=True cpu_seconds=6.170
(3, 37) order4=True J:t=J=True flat=True cpu_seconds=5.690
(5, 37) order4=True J:t=J=True flat=True cpu_seconds=5.735
(7, 37) order4=True J:t=J=True flat=True cpu_seconds=5.993
(11, 37) order4=True J:t=J=True flat=True cpu_seconds=5.759
(32002, 37) order4=True J:t=J=True flat=True cpu_seconds=5.691
(1, 32002) order4=True J:t=J=True flat=True cpu_seconds=5.576
(2, 32002) order4=True J:t=J=True flat=True cpu_seconds=5.870
(3, 32002) order4=True J:t=J=True flat=True cpu_seconds=6.062
(5, 32002) order4=True J:t=J=True flat=True cpu_seconds=6.010
(7, 32002) order4=True J:t=J=True flat=True cpu_seconds=6.036
(11, 32002) order4=True J:t=J=True flat=True cpu_seconds=5.827
(32002, 32002) order4=True J:t=J=True flat=True cpu_seconds=6.617
